Iter	 Error
154 	 0.000550572 
155 	 0.000546254 
156 	 0.000541986 
157 	 0.000537767 
158 	 0.000533596 
159 	 0.000529471 
160 	 0.000525392 
161 	 0.000521359 
162 	 0.000517370 
163 	 0.000513425 
164 	 0.000509523 
165 	 0.000505664 
166 	 0.000501845 
167 	 0.000498068 
168 	 0.000494331 
169 	 0.000490634 
170 	 0.000486975 
171 	 0.000483355 
172 	 0.000479772 
173 	 0.000476226 
174 	 0.000472717 
175 	 0.000469244 
176 	 0.000465806 
177 	 0.000462402 
178 	 0.000459033 
179 	 0.000455698 
180 	 0.000452396 
181 	 0.000449126 
182 	 0.000445889 
183 	 0.000442683 
184 	 0.000439509 
185 	 0.000436365 
186 	 0.000433251 
187 	 0.000430167 
188 	 0.000427113 
189 	 0.000424088 
190 	 0.000421091 
191 	 0.000418122 
192 	 0.000415181 
193 	 0.000412267 
194 	 0.000409380 
195 	 0.000406520 
196 	 0.000403686 
197 	 0.000400878 
198 	 0.000398095 
199 	 0.000395337 
200 	 0.000392604 
201 	 0.000389895 
202 	 0.000387211 
203 	 0.000384550 
204 	 0.000381913 
205 	 0.000379299 
206 	 0.000376707 
207 	 0.000374139 
208 	 0.000371592 
209 	 0.000369067 
210 	 0.000366565 
211 	 0.000364083 
212 	 0.000361622 
213 	 0.000359183 
214 	 0.000356764 
215 	 0.000354365 
216 	 0.000351986 
217 	 0.000349627 
218 	 0.000347288 
219 	 0.000344968 
220 	 0.000342667 
221 	 0.000340385 
222 	 0.000338122 
223 	 0.000335877 
224 	 0.000333650 
225 	 0.000331441 
226 	 0.000329250 
227 	 0.000327076 
228 	 0.000324920 
229 	 0.000322781 
230 	 0.000320659 
231 	 0.000318554 
232 	 0.000316465 
233 	 0.000314392 
234 	 0.000312336 
235 	 0.000310296 
236 	 0.000308272 
237 	 0.000306263 
238 	 0.000304270 
239 	 0.000302292 
240 	 0.000300329 
241 	 0.000298381 
242 	 0.000296448 
243 	 0.000294530 
244 	 0.000292626 
245 	 0.000290736 
246 	 0.000288861 
247 	 0.000287000 
248 	 0.000285153 
249 	 0.000283319 
250 	 0.000281499 
251 	 0.000279692 
252 	 0.000277899 
253 	 0.000276119 
254 	 0.000274353 
255 	 0.000272599 
256 	 0.000270857 
257 	 0.000269129 
258 	 0.000267413 
259 	 0.000265710 
260 	 0.000264019 
261 	 0.000262340 
262 	 0.000260673 
263 	 0.000259018 
264 	 0.000257375 
265 	 0.000255743 
266 	 0.000254124 
267 	 0.000252515 
268 	 0.000250919 
269 	 0.000249333 
270 	 0.000247759 
271 	 0.000246195 
272 	 0.000244643 
273 	 0.000243102 
274 	 0.000241571 
275 	 0.000240051 
276 	 0.000238542 
277 	 0.000237043 
278 	 0.000235554 
279 	 0.000234076 
280 	 0.000232608 
281 	 0.000231150 
282 	 0.000229702 
283 	 0.000228264 
284 	 0.000226836 
285 	 0.000225418 
286 	 0.000224009 
287 	 0.000222611 
288 	 0.000221221 
289 	 0.000219841 
290 	 0.000218470 
291 	 0.000217109 
292 	 0.000215757 
293 	 0.000214414 
294 	 0.000213080 
295 	 0.000211755 
296 	 0.000210438 
297 	 0.000209131 
298 	 0.000207832 
299 	 0.000206542 
300 	 0.000205261 
301 	 0.000203988 
302 	 0.000202724 
303 	 0.000201468 
304 	 0.000200221 
305 	 0.000198981 
306 	 0.000197750 
307 	 0.000196527 
308 	 0.000195312 
309 	 0.000194105 
310 	 0.000192906 
311 	 0.000191715 
312 	 0.000190532 
313 	 0.000189356 
314 	 0.000188188 
315 	 0.000187028 
316 	 0.000185876 
317 	 0.000184730 
318 	 0.000183593 
319 	 0.000182462 
320 	 0.000181340 
321 	 0.000180224 
322 	 0.000179115 
323 	 0.000178014 
324 	 0.000176920 
325 	 0.000175833 
326 	 0.000174753 
327 	 0.000173680 
328 	 0.000172614 
329 	 0.000171555 
330 	 0.000170502 
331 	 0.000169457 
332 	 0.000168418 
333 	 0.000167385 
334 	 0.000166360 
335 	 0.000165340 
336 	 0.000164328 
337 	 0.000163322 
338 	 0.000162322 
339 	 0.000161328 
340 	 0.000160341 
341 	 0.000159361 
342 	 0.000158386 
343 	 0.000157418 
344 	 0.000156456 
345 	 0.000155500 
346 	 0.000154550 
347 	 0.000153606 
348 	 0.000152668 
349 	 0.000151736 
350 	 0.000150809 
351 	 0.000149889 
352 	 0.000148975 
353 	 0.000148066 
354 	 0.000147163 
355 	 0.000146266 
356 	 0.000145374 
357 	 0.000144488 
358 	 0.000143607 
359 	 0.000142732 
360 	 0.000141863 
361 	 0.000140999 
362 	 0.000140140 
363 	 0.000139287 
364 	 0.000138439 
365 	 0.000137597 
366 	 0.000136759 
367 	 0.000135927 
368 	 0.000135101 
369 	 0.000134279 
370 	 0.000133462 
371 	 0.000132651 
372 	 0.000131844 
373 	 0.000131043 
374 	 0.000130247 
375 	 0.000129455 
376 	 0.000128669 
377 	 0.000127887 
378 	 0.000127110 
379 	 0.000126339 
380 	 0.000125571 
381 	 0.000124809 
382 	 0.000124051 
383 	 0.000123299 
384 	 0.000122550 
385 	 0.000121807 
386 	 0.000121068 
387 	 0.000120333 
388 	 0.000119603 
389 	 0.000118878 
390 	 0.000118157 
391 	 0.000117441 
392 	 0.000116729 
393 	 0.000116021 
394 	 0.000115318 
395 	 0.000114619 
396 	 0.000113924 
397 	 0.000113234 
398 	 0.000112548 
399 	 0.000111866 
400 	 0.000111189 
401 	 0.000110515 
402 	 0.000109846 
403 	 0.000109181 
404 	 0.000108520 
405 	 0.000107863 
406 	 0.000107210 
407 	 0.000106561 
408 	 0.000105916 
409 	 0.000105275 
410 	 0.000104638 
411 	 0.000104005 
412 	 0.000103376 
413 	 0.000102750 
414 	 0.000102129 
415 	 0.000101511 
416 	 0.000100897 
417 	 0.000100287 
418 	 0.000099680 
419 	 0.000099077 
420 	 0.000098478 
421 	 0.000097883 
422 	 0.000097291 
423 	 0.000096703 
424 	 0.000096119 
425 	 0.000095538 
426 	 0.000094960 
427 	 0.000094387 
428 	 0.000093816 
429 	 0.000093249 
430 	 0.000092686 
431 	 0.000092126 
432 	 0.000091570 
433 	 0.000091016 
434 	 0.000090467 
435 	 0.000089920 
436 	 0.000089377 
437 	 0.000088837 
438 	 0.000088301 
439 	 0.000087768 
440 	 0.000087238 
441 	 0.000086711 
442 	 0.000086188 
443 	 0.000085667 
444 	 0.000085150 
445 	 0.000084636 
446 	 0.000084125 
447 	 0.000083618 
448 	 0.000083113 
449 	 0.000082611 
450 	 0.000082113 
451 	 0.000081617 
452 	 0.000081125 
453 	 0.000080636 
454 	 0.000080149 
455 	 0.000079665 
456 	 0.000079185 
457 	 0.000078707 
458 	 0.000078232 
459 	 0.000077761 
460 	 0.000077292 
461 	 0.000076825 
462 	 0.000076362 
463 	 0.000075902 
464 	 0.000075444 
465 	 0.000074989 
466 	 0.000074537 
467 	 0.000074087 
468 	 0.000073641 
469 	 0.000073197 
470 	 0.000072755 
471 	 0.000072317 
472 	 0.000071881 
473 	 0.000071447 
474 	 0.000071017 
475 	 0.000070589 
476 	 0.000070163 
477 	 0.000069740 
478 	 0.000069320 
479 	 0.000068902 
480 	 0.000068487 
481 	 0.000068074 
482 	 0.000067664 
483 	 0.000067256 
484 	 0.000066851 
485 	 0.000066448 
486 	 0.000066048 
487 	 0.000065650 
488 	 0.000065254 
489 	 0.000064861 
490 	 0.000064470 
491 	 0.000064082 
492 	 0.000063696 
493 	 0.000063312 
494 	 0.000062931 
495 	 0.000062552 
496 	 0.000062175 
497 	 0.000061801 
498 	 0.000061428 
499 	 0.000061058 
500 	 0.000060691 
501 	 0.000060325 
502 	 0.000059962 
503 	 0.000059601 
504 	 0.000059242 
505 	 0.000058885 
506 	 0.000058530 
507 	 0.000058178 
508 	 0.000057828 
509 	 0.000057479 
510 	 0.000057133 
511 	 0.000056789 
512 	 0.000056447 
513 	 0.000056107 
514 	 0.000055770 
515 	 0.000055434 
516 	 0.000055100 
517 	 0.000054768 
518 	 0.000054439 
519 	 0.000054111 
520 	 0.000053785 
521 	 0.000053462 
522 	 0.000053140 
523 	 0.000052820 
524 	 0.000052502 
525 	 0.000052186 
526 	 0.000051872 
527 	 0.000051560 
528 	 0.000051249 
529 	 0.000050941 
530 	 0.000050634 
531 	 0.000050329 
532 	 0.000050027 
533 	 0.000049725 
534 	 0.000049426 
535 	 0.000049129 
536 	 0.000048833 
537 	 0.000048539 
538 	 0.000048247 
539 	 0.000047957 
540 	 0.000047668 
541 	 0.000047381 
542 	 0.000047096 
543 	 0.000046813 
544 	 0.000046531 
545 	 0.000046251 
546 	 0.000045973 
547 	 0.000045696 
548 	 0.000045421 
549 	 0.000045148 
550 	 0.000044876 
551 	 0.000044606 
552 	 0.000044338 
553 	 0.000044071 
554 	 0.000043806 
555 	 0.000043543 
556 	 0.000043281 
557 	 0.000043020 
558 	 0.000042762 
559 	 0.000042504 
560 	 0.000042249 
561 	 0.000041994 
562 	 0.000041742 
563 	 0.000041491 
564 	 0.000041241 
565 	 0.000040993 
566 	 0.000040746 
567 	 0.000040501 
568 	 0.000040258 
569 	 0.000040016 
570 	 0.000039775 
571 	 0.000039536 
572 	 0.000039298 
573 	 0.000039062 
574 	 0.000038827 
575 	 0.000038593 
576 	 0.000038361 
577 	 0.000038130 
578 	 0.000037901 
579 	 0.000037673 
580 	 0.000037446 
581 	 0.000037221 
582 	 0.000036997 
583 	 0.000036775 
584 	 0.000036554 
585 	 0.000036334 
586 	 0.000036115 
587 	 0.000035898 
588 	 0.000035682 
589 	 0.000035468 
590 	 0.000035254 
591 	 0.000035042 
592 	 0.000034832 
593 	 0.000034622 
594 	 0.000034414 
595 	 0.000034207 
596 	 0.000034001 
597 	 0.000033797 
598 	 0.000033594 
599 	 0.000033392 
600 	 0.000033191 
601 	 0.000032991 
602 	 0.000032793 
603 	 0.000032596 
604 	 0.000032400 
605 	 0.000032205 
606 	 0.000032011 
607 	 0.000031819 
608 	 0.000031628 
609 	 0.000031437 
610 	 0.000031248 
611 	 0.000031060 
612 	 0.000030874 
613 	 0.000030688 
614 	 0.000030504 
615 	 0.000030320 
616 	 0.000030138 
617 	 0.000029957 
618 	 0.000029777 
619 	 0.000029598 
620 	 0.000029420 
621 	 0.000029243 
622 	 0.000029067 
623 	 0.000028892 
624 	 0.000028719 
625 	 0.000028546 
626 	 0.000028374 
627 	 0.000028204 
628 	 0.000028034 
629 	 0.000027866 
630 	 0.000027698 
631 	 0.000027532 
632 	 0.000027366 
633 	 0.000027202 
634 	 0.000027038 
635 	 0.000026875 
636 	 0.000026714 
637 	 0.000026553 
638 	 0.000026394 
639 	 0.000026235 
640 	 0.000026077 
641 	 0.000025921 
642 	 0.000025765 
643 	 0.000025610 
644 	 0.000025456 
645 	 0.000025303 
646 	 0.000025151 
647 	 0.000025000 
648 	 0.000024849 
649 	 0.000024700 
650 	 0.000024552 
651 	 0.000024404 
652 	 0.000024257 
653 	 0.000024111 
654 	 0.000023967 
655 	 0.000023822 
656 	 0.000023679 
657 	 0.000023537 
658 	 0.000023395 
659 	 0.000023255 
660 	 0.000023115 
661 	 0.000022976 
662 	 0.000022838 
663 	 0.000022701 
664 	 0.000022564 
665 	 0.000022429 
666 	 0.000022294 
667 	 0.000022160 
668 	 0.000022027 
669 	 0.000021894 
670 	 0.000021763 
671 	 0.000021632 
672 	 0.000021502 
673 	 0.000021373 
674 	 0.000021244 
675 	 0.000021117 
676 	 0.000020990 
677 	 0.000020863 
678 	 0.000020738 
679 	 0.000020613 
680 	 0.000020490 
681 	 0.000020366 
682 	 0.000020244 
683 	 0.000020122 
684 	 0.000020001 
685 	 0.000019881 
686 	 0.000019762 
687 	 0.000019643 
688 	 0.000019525 
689 	 0.000019407 
690 	 0.000019291 
691 	 0.000019175 
692 	 0.000019060 
693 	 0.000018945 
694 	 0.000018831 
695 	 0.000018718 
696 	 0.000018606 
697 	 0.000018494 
698 	 0.000018383 
699 	 0.000018272 
700 	 0.000018162 
701 	 0.000018053 
702 	 0.000017945 
703 	 0.000017837 
704 	 0.000017730 
705 	 0.000017623 
706 	 0.000017517 
707 	 0.000017412 
708 	 0.000017307 
709 	 0.000017203 
710 	 0.000017100 
711 	 0.000016997 
712 	 0.000016895 
713 	 0.000016793 
714 	 0.000016693 
715 	 0.000016592 
716 	 0.000016493 
717 	 0.000016393 
718 	 0.000016295 
719 	 0.000016197 
720 	 0.000016100 
721 	 0.000016003 
722 	 0.000015907 
723 	 0.000015811 
724 	 0.000015716 
725 	 0.000015622 
726 	 0.000015528 
727 	 0.000015434 
728 	 0.000015342 
729 	 0.000015250 
730 	 0.000015158 
731 	 0.000015067 
732 	 0.000014976 
733 	 0.000014886 
734 	 0.000014797 
735 	 0.000014708 
736 	 0.000014620 
737 	 0.000014532 
738 	 0.000014444 
739 	 0.000014358 
740 	 0.000014271 
741 	 0.000014186 
742 	 0.000014100 
743 	 0.000014016 
744 	 0.000013931 
745 	 0.000013848 
746 	 0.000013764 
747 	 0.000013682 
748 	 0.000013599 
749 	 0.000013518 
750 	 0.000013437 
751 	 0.000013356 
752 	 0.000013276 
753 	 0.000013196 
754 	 0.000013116 
755 	 0.000013038 
756 	 0.000012959 
757 	 0.000012881 
758 	 0.000012804 
759 	 0.000012727 
760 	 0.000012651 
761 	 0.000012575 
762 	 0.000012499 
763 	 0.000012424 
764 	 0.000012349 
765 	 0.000012275 
766 	 0.000012201 
767 	 0.000012128 
768 	 0.000012055 
769 	 0.000011983 
770 	 0.000011911 
771 	 0.000011839 
772 	 0.000011768 
773 	 0.000011697 
774 	 0.000011627 
775 	 0.000011557 
776 	 0.000011488 
777 	 0.000011419 
778 	 0.000011350 
779 	 0.000011282 
780 	 0.000011214 
781 	 0.000011147 
782 	 0.000011080 
783 	 0.000011013 
784 	 0.000010947 
785 	 0.000010881 
786 	 0.000010816 
787 	 0.000010751 
788 	 0.000010686 
789 	 0.000010622 
790 	 0.000010558 
791 	 0.000010495 
792 	 0.000010432 
793 	 0.000010369 
794 	 0.000010307 
795 	 0.000010245 
796 	 0.000010183 
797 	 0.000010122 
798 	 0.000010061 
799 	 0.000010001 
800 	 0.000009941 
801 	 0.000009881 
802 	 0.000009822 
803 	 0.000009763 
804 	 0.000009704 
805 	 0.000009646 
806 	 0.000009588 
807 	 0.000009530 
808 	 0.000009473 
809 	 0.000009416 
810 	 0.000009359 
811 	 0.000009303 
812 	 0.000009247 
813 	 0.000009192 
814 	 0.000009136 
815 	 0.000009081 
816 	 0.000009027 
817 	 0.000008973 
818 	 0.000008919 
819 	 0.000008865 
820 	 0.000008812 
821 	 0.000008759 
822 	 0.000008706 
823 	 0.000008654 
824 	 0.000008602 
825 	 0.000008550 
826 	 0.000008499 
827 	 0.000008448 
828 	 0.000008397 
829 	 0.000008347 
830 	 0.000008297 
831 	 0.000008247 
832 	 0.000008197 
833 	 0.000008148 
834 	 0.000008099 
835 	 0.000008050 
836 	 0.000008002 
837 	 0.000007954 
838 	 0.000007906 
839 	 0.000007859 
840 	 0.000007811 
841 	 0.000007764 
842 	 0.000007718 
843 	 0.000007671 
844 	 0.000007625 
845 	 0.000007579 
846 	 0.000007534 
847 	 0.000007489 
848 	 0.000007444 
849 	 0.000007399 
850 	 0.000007354 
851 	 0.000007310 
852 	 0.000007266 
853 	 0.000007223 
854 	 0.000007179 
855 	 0.000007136 
856 	 0.000007093 
857 	 0.000007051 
858 	 0.000007008 
859 	 0.000006966 
860 	 0.000006924 
861 	 0.000006883 
862 	 0.000006841 
863 	 0.000006800 
864 	 0.000006759 
865 	 0.000006719 
866 	 0.000006678 
867 	 0.000006638 
868 	 0.000006598 
869 	 0.000006559 
870 	 0.000006519 
871 	 0.000006480 
872 	 0.000006441 
873 	 0.000006403 
874 	 0.000006364 
875 	 0.000006326 
876 	 0.000006288 
877 	 0.000006250 
878 	 0.000006213 
879 	 0.000006175 
880 	 0.000006138 
881 	 0.000006101 
882 	 0.000006065 
883 	 0.000006028 
884 	 0.000005992 
885 	 0.000005956 
886 	 0.000005920 
887 	 0.000005885 
888 	 0.000005849 
889 	 0.000005814 
890 	 0.000005779 
891 	 0.000005744 
892 	 0.000005710 
893 	 0.000005676 
894 	 0.000005641 
895 	 0.000005608 
896 	 0.000005574 
897 	 0.000005540 
898 	 0.000005507 
899 	 0.000005474 
900 	 0.000005441 
901 	 0.000005408 
902 	 0.000005376 
903 	 0.000005344 
904 	 0.000005312 
905 	 0.000005280 
906 	 0.000005248 
907 	 0.000005216 
908 	 0.000005185 
909 	 0.000005154 
910 	 0.000005123 
911 	 0.000005092 
912 	 0.000005062 
913 	 0.000005031 
914 	 0.000005001 
915 	 0.000004971 
916 	 0.000004941 
917 	 0.000004911 
918 	 0.000004882 
919 	 0.000004852 
920 	 0.000004823 
921 	 0.000004794 
922 	 0.000004766 
923 	 0.000004737 
924 	 0.000004708 
925 	 0.000004680 
926 	 0.000004652 
927 	 0.000004624 
928 	 0.000004596 
929 	 0.000004569 
930 	 0.000004541 
931 	 0.000004514 
932 	 0.000004487 
933 	 0.000004460 
934 	 0.000004433 
935 	 0.000004406 
936 	 0.000004380 
937 	 0.000004354 
938 	 0.000004328 
939 	 0.000004302 
940 	 0.000004276 
941 	 0.000004250 
942 	 0.000004224 
943 	 0.000004199 
944 	 0.000004174 
945 	 0.000004149 
946 	 0.000004124 
947 	 0.000004099 
948 	 0.000004074 
949 	 0.000004050 
950 	 0.000004026 
951 	 0.000004001 
952 	 0.000003977 
953 	 0.000003954 
954 	 0.000003930 
955 	 0.000003906 
956 	 0.000003883 
957 	 0.000003859 
958 	 0.000003836 
959 	 0.000003813 
960 	 0.000003790 
961 	 0.000003767 
962 	 0.000003745 
963 	 0.000003722 
964 	 0.000003700 
965 	 0.000003678 
966 	 0.000003656 
967 	 0.000003634 
968 	 0.000003612 
969 	 0.000003590 
970 	 0.000003569 
971 	 0.000003547 
972 	 0.000003526 
973 	 0.000003505 
974 	 0.000003484 
975 	 0.000003463 
976 	 0.000003442 
977 	 0.000003421 
978 	 0.000003401 
979 	 0.000003380 
980 	 0.000003360 
981 	 0.000003340 
982 	 0.000003320 
983 	 0.000003300 
984 	 0.000003280 
985 	 0.000003260 
986 	 0.000003241 
987 	 0.000003221 
988 	 0.000003202 
989 	 0.000003182 
990 	 0.000003163 
991 	 0.000003144 
992 	 0.000003125 
993 	 0.000003107 
994 	 0.000003088 
995 	 0.000003069 
996 	 0.000003051 
997 	 0.000003033 
998 	 0.000003014 
999 	 0.000002996 
1000 	 0.000002978 
1001 	 0.000002960 
1002 	 0.000002943 
1003 	 0.000002925 
1004 	 0.000002907 
1005 	 0.000002890 
1006 	 0.000002873 
1007 	 0.000002855 
1008 	 0.000002838 
1009 	 0.000002821 
1010 	 0.000002804 
1011 	 0.000002787 
1012 	 0.000002771 
1013 	 0.000002754 
1014 	 0.000002737 
1015 	 0.000002721 
1016 	 0.000002705 
1017 	 0.000002688 
1018 	 0.000002672 
1019 	 0.000002656 
1020 	 0.000002640 
1021 	 0.000002624 
1022 	 0.000002609 
1023 	 0.000002593 
1024 	 0.000002577 
1025 	 0.000002562 
1026 	 0.000002546 
1027 	 0.000002531 
1028 	 0.000002516 
1029 	 0.000002501 
1030 	 0.000002486 
1031 	 0.000002471 
1032 	 0.000002456 
1033 	 0.000002441 
1034 	 0.000002427 
1035 	 0.000002412 
1036 	 0.000002398 
1037 	 0.000002383 
1038 	 0.000002369 
1039 	 0.000002355 
1040 	 0.000002340 
1041 	 0.000002326 
1042 	 0.000002312 
1043 	 0.000002299 
1044 	 0.000002285 
1045 	 0.000002271 
1046 	 0.000002257 
1047 	 0.000002244 
1048 	 0.000002230 
1049 	 0.000002217 
1050 	 0.000002204 
1051 	 0.000002190 
1052 	 0.000002177 
1053 	 0.000002164 
1054 	 0.000002151 
1055 	 0.000002138 
1056 	 0.000002125 
1057 	 0.000002113 
1058 	 0.000002100 
1059 	 0.000002087 
1060 	 0.000002075 
1061 	 0.000002062 
1062 	 0.000002050 
1063 	 0.000002038 
1064 	 0.000002025 
1065 	 0.000002013 
1066 	 0.000002001 
1067 	 0.000001989 
1068 	 0.000001977 
1069 	 0.000001965 
1070 	 0.000001953 
1071 	 0.000001942 
1072 	 0.000001930 
1073 	 0.000001918 
1074 	 0.000001907 
1075 	 0.000001895 
1076 	 0.000001884 
1077 	 0.000001873 
1078 	 0.000001861 
1079 	 0.000001850 
1080 	 0.000001839 
1081 	 0.000001828 
1082 	 0.000001817 
1083 	 0.000001806 
1084 	 0.000001795 
1085 	 0.000001785 
1086 	 0.000001774 
1087 	 0.000001763 
1088 	 0.000001753 
1089 	 0.000001742 
1090 	 0.000001732 
1091 	 0.000001721 
1092 	 0.000001711 
1093 	 0.000001701 
1094 	 0.000001690 
1095 	 0.000001680 
1096 	 0.000001670 
1097 	 0.000001660 
1098 	 0.000001650 
1099 	 0.000001640 
1100 	 0.000001630 
1101 	 0.000001621 
1102 	 0.000001611 
1103 	 0.000001601 
1104 	 0.000001591 
1105 	 0.000001582 
1106 	 0.000001572 
1107 	 0.000001563 
1108 	 0.000001554 
1109 	 0.000001544 
1110 	 0.000001535 
1111 	 0.000001526 
1112 	 0.000001517 
1113 	 0.000001507 
1114 	 0.000001498 
1115 	 0.000001489 
1116 	 0.000001480 
1117 	 0.000001472 
1118 	 0.000001463 
1119 	 0.000001454 
1120 	 0.000001445 
1121 	 0.000001437 
1122 	 0.000001428 
1123 	 0.000001419 
1124 	 0.000001411 
1125 	 0.000001402 
1126 	 0.000001394 
1127 	 0.000001386 
1128 	 0.000001377 
1129 	 0.000001369 
1130 	 0.000001361 
1131 	 0.000001353 
1132 	 0.000001344 
1133 	 0.000001336 
1134 	 0.000001328 
1135 	 0.000001320 
1136 	 0.000001312 
1137 	 0.000001304 
1138 	 0.000001297 
1139 	 0.000001289 
1140 	 0.000001281 
1141 	 0.000001273 
1142 	 0.000001266 
1143 	 0.000001258 
1144 	 0.000001251 
1145 	 0.000001243 
1146 	 0.000001236 
1147 	 0.000001228 
1148 	 0.000001221 
1149 	 0.000001213 
1150 	 0.000001206 
1151 	 0.000001199 
1152 	 0.000001192 
1153 	 0.000001185 
1154 	 0.000001177 
1155 	 0.000001170 
1156 	 0.000001163 
1157 	 0.000001156 
1158 	 0.000001149 
1159 	 0.000001143 
1160 	 0.000001136 
1161 	 0.000001129 
1162 	 0.000001122 
1163 	 0.000001115 
1164 	 0.000001109 
1165 	 0.000001102 
1166 	 0.000001095 
1167 	 0.000001089 
1168 	 0.000001082 
1169 	 0.000001076 
1170 	 0.000001069 
1171 	 0.000001063 
1172 	 0.000001056 
1173 	 0.000001050 
1174 	 0.000001044 
1175 	 0.000001038 
1176 	 0.000001031 
1177 	 0.000001025 
1178 	 0.000001019 
1179 	 0.000001013 
1180 	 0.000001007 
1181 	 0.000001001 
1182 	 0.000000995 
